system:index,B2,B3,B4,B8,NDVI,landcover,random,.geo
1_1_0_0,0.08595,0.0906,0.0851,0.1398,0.24321918,0,0.2007263566281141,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_1,0.08325,0.0853,0.0777,0.1371,0.27653632,0,0.5255651847193308,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_2,0.07865,0.08725,0.07775,0.1351,0.26943862,0,0.6696436475908298,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_3,0.08495,0.09445,0.0897,0.1474,0.24335726,0,0.4924573146057465,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_5,0.1091,0.1211,0.1218,0.1861,0.20883407,0,0.6871534547627884,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_6,0.0977,0.10705,0.10595,0.1516,0.17724715,0,0.03053804130797433,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_7,0.10635,0.1158,0.1214,0.1469,0.09504286,0,0.49053192244477295,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_8,0.1055,0.1121,0.1127,0.147,0.13207547,0,0.3812000535284279,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_9,0.0999,0.10475,0.10285,0.1358,0.13806833,0,0.022704680633625518,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_10,0.10425,0.1097,0.112,0.1324,0.083469726,0,0.3994522229044729,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_11,0.1144,0.1214,0.1249,0.152,0.097869255,0,0.592818641411979,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_13,0.08315,0.0943,0.08575,0.1541,0.28496978,0,0.4143589227367229,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_14,0.09365,0.1004,0.09725,0.1451,0.19744171,0,0.06454527621901995,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_16,0.106,0.1176,0.1216,0.1537,0.116600044,0,0.0917055085083297,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_19,0.0914,0.1008,0.0999,0.1478,0.19337909,0,0.46434280825081653,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_20,0.0796,0.0845,0.07425,0.1601,0.3663324,0,0.5467352221843597,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_21,0.07995,0.08795,0.07795,0.1546,0.3296065,0,0.5697198966334457,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_22,0.1506,0.1619,0.1737,0.189,0.042183597,0,0.6858805034666131,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_25,0.1118,0.1254,0.1252,0.1998,0.22953844,0,0.5546190195046428,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_27,0.0949,0.09985,0.10215,0.1348,0.13779278,0,0.6490533308908378,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_30,0.0952,0.1015,0.09595,0.1223,0.1207331,0,0.4775159056302408,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_32,0.07875,0.08785,0.0741,0.1618,0.37176767,0,0.36744290242277167,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_33,0.1461,0.1549,0.1662,0.1915,0.07072965,0,0.5001513652756385,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_34,0.1009,0.1112,0.1095,0.1586,0.18314064,0,0.4968727686269022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_36,0.1055,0.1164,0.1063,0.2098,0.32742804,0,0.6984341073873019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_37,0.0846,0.0902,0.0876,0.1565,0.28226137,0,0.5045896612211043,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_39,0.1098,0.1166,0.12,0.1336,0.05362776,0,0.3927322353062974,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_40,0.1177,0.1261,0.1249,0.1395,0.055219397,0,0.29598847631035297,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_41,0.1156,0.1185,0.1181,0.1248,0.027583344,0,0.3657356555344611,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_42,0.09335,0.09095,0.0838,0.10305,0.103023805,0,0.3374448951607455,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_43,0.09885,0.10145,0.09815,0.1229,0.11196563,0,0.3809478282621236,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_45,0.0869,0.0973,0.0961,0.1363,0.1729776,0,0.4971849435339104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_46,0.07625,0.08535,0.07595,0.1658,0.37166497,0,0.6250162144052848,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_47,0.07915,0.0875,0.07785,0.1671,0.36436006,0,0.6518369658114074,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_48,0.0889,0.0952,0.09055,0.1456,0.23311457,0,0.1523704011268655,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_49,0.0928,0.1005,0.09805,0.1179,0.09191943,0,0.42747257058553534,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_50,0.0967,0.1001,0.09375,0.09725,0.018324606,0,0.3859778822173432,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_51,0.118,0.121,0.1143,0.1165,0.009532062,0,0.11364002828881559,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_52,0.1254,0.1308,0.1216,0.1154,-0.02616034,0,0.022543052584592882,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_53,0.10215,0.10415,0.10275,0.1028,2.4321768E-4,0,0.04844739562602696,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_55,0.1358,0.1521,0.1602,0.1976,0.10452769,0,0.2920423874082827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_57,0.07825,0.08905,0.0847,0.1391,0.24307415,0,0.6649150899236853,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_59,0.08965,0.0975,0.09705,0.1182,0.09825781,0,0.08458800769700792,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_62,0.09295,0.09035,0.0805,0.0769,-0.022871673,0,0.01492604455341362,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_63,0.09595,0.09885,0.08905,0.0821,-0.040607687,0,0.4854695626696026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_65,0.121,0.1227,0.1107,0.10495,-0.026663544,0,0.2107592756922324,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_67,0.08885,0.09755,0.09645,0.1787,0.29892784,0,0.16824529318045678,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_70,0.09185,0.09575,0.09195,0.10125,0.04813665,0,0.3881384802966238,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_71,0.07965,0.0817,0.06815,0.06425,-0.029456185,0,0.6641218099901929,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_72,0.0765,0.07875,0.06185,0.05515,-0.057264972,0,0.6708975611998476,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_75,0.0774,0.07665,0.0621,0.05895,-0.026022315,0,0.6034467267440924,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_78,0.08505,0.09305,0.08845,0.1737,0.32519552,0,0.3904088007178843,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_79,0.106,0.1152,0.1164,0.1507,0.12841631,0,0.10706662386224275,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_81,0.08265,0.0889,0.07865,0.07745,-0.007687367,0,0.4504740500340755,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_82,0.0762,0.0778,0.06375,0.0558,-0.066499375,0,0.21249848843751773,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_83,0.07525,0.07985,0.0601,0.0533,-0.059964724,0,0.5086427527503118,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_84,0.07515,0.07915,0.05865,0.0499,-0.08060801,0,0.3637987954496946,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_87,0.07675,0.0773,0.0566,0.04735,-0.088985085,0,0.04160533203134631,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_88,0.0777,0.0848,0.0777,0.1496,0.31632206,0,0.044336496980722395,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_89,0.0852,0.08995,0.0884,0.1388,0.22183098,0,0.3356228952877226,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_91,0.09115,0.0962,0.0925,0.09865,0.032173686,0,0.2755628085630094,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_93,0.07585,0.0776,0.0631,0.05265,-0.09028079,0,0.41955304467642596,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_94,0.07625,0.07725,0.0599,0.05035,-0.08662133,0,0.5030840478317076,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_96,0.0758,0.079,0.06,0.0482,-0.10905729,0,0.2664371703125321,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_98,0.076,0.0775,0.0577,0.04855,-0.08611767,0,0.4555143865697342,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_99,0.09165,0.0993,0.0933,0.1497,0.23209877,0,0.4480461041508331,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_101,0.0931,0.10125,0.1014,0.1123,0.051006075,0,0.6431059186492298,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_103,0.0771,0.0789,0.0627,0.05405,-0.074089974,0,0.32445563131948796,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_104,0.0738,0.07585,0.06025,0.05145,-0.078782454,0,0.4684187569030982,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_105,0.07415,0.0736,0.05905,0.0496,-0.08697653,0,0.5357781328374503,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_106,0.0746,0.0757,0.0583,0.0493,-0.083643116,0,0.09221538458543055,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_107,0.07445,0.0758,0.05845,0.04745,-0.10387158,0,0.14737609294240683,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_109,0.0757,0.0769,0.05685,0.0463,-0.10227823,0,0.5161701530132016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_111,0.09595,0.1035,0.1107,0.1255,0.06265876,0,0.2949807094425001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_113,0.08105,0.0819,0.0667,0.06015,-0.051635753,0,3.3146443252618507E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_114,0.07765,0.07875,0.0645,0.05705,-0.061291616,0,0.592606459197375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_115,0.07535,0.0769,0.0609,0.0517,-0.081705146,0,0.5086370705290695,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_118,0.0737,0.0748,0.05755,0.0453,-0.11910548,0,0.3606119713145054,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0_119,0.0739,0.0747,0.05645,0.04545,-0.107948974,0,0.015390890620755715,"{""type"":""MultiPoint"",""coordinates"":[]}"
